,gender,customer type,age,type of travel,class,flight distance,inflight wifi service,departure/arrival time convenient,ease of online booking,gate location,food and drink,online boarding,seat comfort,inflight entertainment,on-board service,leg room service,baggage handling,checkin service,inflight service,cleanliness,departure delay in minutes,arrival delay in minutes,satisfaction,customer_age
5418,Male,Loyal customer,66,Personal Travel,Eco Plus,951,3,2,3,3,4,3,4,4,3,4,3,4,2,4,0,0,Neutral or dissatisfied,Senior
5419,Female,Loyal customer,64,Personal Travel,Eco,448,3,4,3,3,5,5,5,5,5,3,5,4,5,4,0,11,Neutral or dissatisfied,Senior
5420,Female,Loyal customer,44,Personal Travel,Eco,1444,3,3,3,4,4,1,2,3,3,3,3,5,3,5,15,24,Neutral or dissatisfied,Middle Adults
5421,Female,Disloyal customer,34,Business travel,Business,2075,2,2,2,4,2,2,2,2,3,3,5,4,5,2,0,7,Neutral or dissatisfied,Young Adults
5422,Male,Loyal customer,59,Personal Travel,Eco,577,4,2,4,2,3,4,3,3,3,1,2,3,3,3,0,0,Neutral or dissatisfied,Middle Adults
5423,Female,Loyal customer,58,Business travel,Business,2846,3,3,3,3,5,5,5,4,3,3,4,5,5,5,0,0,Satisfied,Middle Adults
5424,Male,Loyal customer,40,Business travel,Business,3106,4,4,4,4,4,5,4,4,4,4,4,5,4,3,0,0,Satisfied,Young Adults
5425,Female,Loyal customer,7,Personal Travel,Eco,675,2,5,2,2,5,2,5,5,5,5,5,3,4,5,0,10,Neutral or dissatisfied,Youth
5426,Male,Disloyal customer,40,Business travel,Eco,2586,3,3,3,3,1,3,1,1,4,1,4,1,4,1,1,0,Neutral or dissatisfied,Young Adults
5427,Female,Disloyal customer,31,Business travel,Eco Plus,925,1,1,1,3,2,1,2,2,4,2,2,2,2,2,46,23,Neutral or dissatisfied,Young Adults
5428,Female,Loyal customer,32,Business travel,Eco Plus,1426,5,2,3,3,5,5,5,5,2,3,5,1,1,5,25,60,Satisfied,Young Adults
5429,Female,Loyal customer,24,Business travel,Business,1452,5,5,1,5,3,3,3,3,4,4,3,1,2,3,0,0,Satisfied,Youth
5430,Female,Loyal customer,51,Personal Travel,Eco,1337,2,5,2,1,5,4,5,2,2,2,2,4,2,3,10,0,Neutral or dissatisfied,Middle Adults
5431,Female,Loyal customer,45,Business travel,Business,758,4,4,4,4,4,5,5,5,5,5,5,3,5,4,0,3,Satisfied,Middle Adults
5432,Female,Loyal customer,37,Business travel,Business,199,1,5,5,5,1,1,1,3,1,3,4,1,3,1,63,137,Neutral or dissatisfied,Young Adults
5433,Male,Disloyal customer,15,Business travel,Eco,631,2,5,1,2,2,1,2,2,4,2,4,4,4,2,4,0,Neutral or dissatisfied,Youth
5434,Male,Loyal customer,40,Business travel,Business,3275,3,3,3,3,4,4,4,4,4,4,4,3,4,4,50,64,Satisfied,Young Adults
5435,Female,Loyal customer,27,Personal Travel,Eco,603,1,5,1,2,3,1,3,3,4,3,5,5,5,3,0,0,Neutral or dissatisfied,Young Adults
5436,Female,Loyal customer,38,Business travel,Business,3357,1,1,1,1,1,1,4,5,5,5,5,5,5,4,0,0,Satisfied,Young Adults
5437,Female,Loyal customer,68,Personal Travel,Eco,926,1,4,1,4,1,4,3,3,3,1,3,2,3,1,26,31,Neutral or dissatisfied,Senior
5438,Male,Loyal customer,53,Personal Travel,Eco,528,1,5,1,2,3,1,3,3,3,2,5,3,5,3,0,3,Neutral or dissatisfied,Middle Adults
5439,Male,Loyal customer,44,Business travel,Eco,833,2,1,1,1,2,2,2,2,2,5,2,4,1,2,0,12,Satisfied,Middle Adults
5440,Female,Loyal customer,40,Business travel,Business,2454,5,5,5,5,4,4,4,5,4,5,4,4,5,4,0,0,Satisfied,Young Adults
5441,Male,Loyal customer,50,Business travel,Business,584,1,1,1,1,2,3,3,1,1,1,1,1,1,2,0,0,Neutral or dissatisfied,Middle Adults
5442,Male,Disloyal customer,37,Business travel,Eco,680,4,3,3,3,5,3,5,5,2,1,3,1,4,5,0,0,Neutral or dissatisfied,Young Adults
5443,Male,Loyal customer,64,Personal Travel,Eco,446,4,5,4,4,1,4,2,1,3,3,5,3,4,1,32,29,Neutral or dissatisfied,Senior
5444,Male,Loyal customer,57,Personal Travel,Eco,2475,3,4,3,1,1,3,1,1,5,4,4,5,4,1,0,0,Neutral or dissatisfied,Middle Adults
5445,Male,Loyal customer,16,Business travel,Business,419,5,5,5,5,5,5,5,5,5,3,4,3,4,5,0,0,Satisfied,Youth
5446,Male,Loyal customer,52,Business travel,Business,2657,1,1,5,1,4,4,4,5,5,5,5,5,5,5,0,0,Satisfied,Middle Adults
5447,Male,Loyal customer,59,Personal Travel,Eco,645,2,2,2,3,1,2,1,1,2,3,2,2,3,1,0,0,Neutral or dissatisfied,Middle Adults
5448,Female,Loyal customer,51,Personal Travel,Eco,888,4,4,5,4,1,3,3,3,3,5,3,2,3,3,0,7,Neutral or dissatisfied,Middle Adults
5449,Female,Loyal customer,49,Personal Travel,Eco Plus,657,1,5,1,3,2,4,4,2,2,1,2,3,2,2,0,0,Neutral or dissatisfied,Middle Adults
5450,Female,Disloyal customer,39,Business travel,Eco,251,3,1,3,3,2,3,2,2,1,3,3,4,3,2,108,97,Neutral or dissatisfied,Young Adults
5451,Female,Loyal customer,51,Business travel,Business,1426,4,4,4,4,3,4,5,3,3,3,3,4,3,5,0,9,Satisfied,Middle Adults
5452,Female,Disloyal customer,30,Business travel,Business,590,1,1,1,3,2,1,4,2,3,2,4,4,5,2,4,0,Neutral or dissatisfied,Young Adults
5453,Male,Loyal customer,63,Business travel,Eco,1501,2,5,5,5,2,2,2,2,1,5,2,2,3,2,0,0,Neutral or dissatisfied,Senior
5454,Female,Loyal customer,9,Personal Travel,Eco,696,1,4,1,2,2,1,2,2,5,5,4,5,5,2,11,23,Neutral or dissatisfied,Youth
5455,Female,Loyal customer,51,Business travel,Business,1068,5,5,5,5,5,5,5,3,3,3,3,5,3,3,19,37,Satisfied,Middle Adults
5456,Male,Loyal customer,57,Personal Travel,Eco,657,3,4,3,4,2,3,2,2,3,4,2,5,3,2,24,25,Neutral or dissatisfied,Middle Adults
5457,Male,Loyal customer,43,Business travel,Eco Plus,296,4,4,4,4,4,4,4,4,5,3,2,2,5,4,1,0,Satisfied,Middle Adults
5458,Male,Loyal customer,26,Business travel,Business,1009,3,1,1,1,3,3,3,3,1,1,4,3,3,3,0,0,Neutral or dissatisfied,Young Adults
5459,Male,Loyal customer,36,Business travel,Business,3981,3,3,5,3,3,4,4,4,4,4,4,5,4,5,0,9,Satisfied,Young Adults
5460,Female,Loyal customer,41,Business travel,Business,1069,2,2,2,2,2,4,4,5,5,5,5,3,5,3,6,0,Satisfied,Middle Adults
5461,Female,Loyal customer,62,Personal Travel,Eco,1440,3,4,3,1,3,5,4,4,4,3,4,3,4,5,27,16,Neutral or dissatisfied,Senior
5462,Male,Disloyal customer,8,Personal Travel,Eco,236,1,5,1,4,1,1,1,1,5,3,4,4,5,1,0,0,Neutral or dissatisfied,Youth
5463,Female,Loyal customer,16,Business travel,Eco Plus,515,2,1,5,1,2,2,2,2,1,5,4,2,4,2,8,4,Neutral or dissatisfied,Youth
5464,Male,Loyal customer,59,Personal Travel,Eco,192,5,5,5,3,5,5,5,5,5,4,4,3,5,5,4,0,Satisfied,Middle Adults
5465,Male,Loyal customer,39,Business travel,Business,2513,1,1,1,1,2,4,5,5,5,5,5,4,5,3,0,0,Satisfied,Young Adults
5466,Male,Loyal customer,53,Personal Travel,Eco,852,2,4,2,1,1,2,1,1,3,4,4,3,5,1,0,0,Neutral or dissatisfied,Middle Adults
5467,Male,Loyal customer,51,Personal Travel,Eco,383,2,4,5,4,1,5,1,1,5,3,4,5,4,1,0,0,Neutral or dissatisfied,Middle Adults
5468,Female,Loyal customer,30,Business travel,Business,2045,2,2,2,2,5,5,5,5,5,1,1,4,2,5,0,0,Satisfied,Young Adults
5469,Male,Loyal customer,43,Business travel,Eco,1092,3,5,5,5,3,3,3,3,3,5,3,1,4,3,0,0,Neutral or dissatisfied,Middle Adults
5470,Male,Loyal customer,55,Business travel,Business,1190,1,1,1,1,3,4,3,1,1,1,1,3,1,2,0,0,Neutral or dissatisfied,Middle Adults
5471,Female,Loyal customer,47,Personal Travel,Eco,73,2,1,2,3,3,2,2,5,5,2,5,2,5,2,64,79,Neutral or dissatisfied,Middle Adults
5472,Male,Loyal customer,41,Personal Travel,Eco,986,4,5,4,4,4,4,4,4,5,2,4,3,5,4,9,1,Neutral or dissatisfied,Middle Adults
5473,Female,Loyal customer,55,Business travel,Eco,376,2,1,1,1,2,2,2,2,2,2,2,2,2,1,0,0,Neutral or dissatisfied,Middle Adults
5474,Female,Loyal customer,41,Business travel,Business,1993,3,3,5,5,3,2,3,3,3,3,3,2,3,4,0,17,Neutral or dissatisfied,Middle Adults
5475,Female,Loyal customer,49,Business travel,Business,3507,4,4,4,4,4,5,5,5,5,5,5,4,5,3,1,0,Satisfied,Middle Adults
5476,Female,Loyal customer,40,Business travel,Business,3918,1,0,0,3,5,3,3,3,3,0,3,1,3,4,0,0,Neutral or dissatisfied,Young Adults
5477,Female,Disloyal customer,22,Business travel,Eco,738,3,3,3,3,3,3,3,3,3,4,2,2,2,3,46,41,Neutral or dissatisfied,Youth
5478,Male,Loyal customer,65,Personal Travel,Eco,1300,1,4,1,1,4,1,4,4,3,4,4,5,5,4,0,0,Neutral or dissatisfied,Senior
5479,Female,Loyal customer,36,Business travel,Business,236,1,1,1,1,4,4,5,5,5,5,5,4,5,3,0,0,Satisfied,Young Adults
5480,Female,Loyal customer,36,Personal Travel,Eco,867,4,5,4,1,5,4,5,5,4,4,4,4,5,5,30,18,Neutral or dissatisfied,Young Adults
5481,Female,Loyal customer,41,Business travel,Business,1999,3,3,3,3,2,4,4,5,5,5,5,4,5,4,0,0,Satisfied,Middle Adults
5482,Male,Loyal customer,58,Business travel,Business,2073,2,2,2,2,3,4,5,5,5,5,4,4,5,5,0,0,Satisfied,Middle Adults
5483,Female,Loyal customer,59,Personal Travel,Business,2218,1,3,1,4,4,4,3,1,1,1,1,2,1,1,2,0,Neutral or dissatisfied,Middle Adults
5484,Male,Loyal customer,28,Personal Travel,Eco,241,1,5,1,1,1,1,1,1,5,2,4,3,5,1,6,1,Neutral or dissatisfied,Young Adults
5485,Male,Loyal customer,65,Personal Travel,Eco,862,2,4,2,1,1,2,5,1,5,4,5,5,4,1,0,4,Neutral or dissatisfied,Senior
5486,Female,Loyal customer,64,Personal Travel,Eco,515,1,5,1,3,3,5,4,4,4,1,4,3,4,3,0,3,Neutral or dissatisfied,Senior
5487,Male,Loyal customer,60,Business travel,Business,1671,1,1,4,1,3,5,4,5,5,5,5,5,5,5,0,0,Satisfied,Middle Adults
5488,Male,Disloyal customer,40,Business travel,Eco,101,1,1,1,3,4,1,3,4,1,5,4,3,3,4,0,0,Neutral or dissatisfied,Young Adults
5489,Female,Loyal customer,66,Business travel,Eco,1276,3,4,3,3,3,3,2,3,3,3,3,4,3,4,54,41,Neutral or dissatisfied,Senior
5490,Female,Loyal customer,47,Business travel,Business,2994,4,3,3,3,5,4,3,4,4,4,4,1,4,1,13,13,Neutral or dissatisfied,Middle Adults
5491,Female,Disloyal customer,24,Business travel,Eco,1072,2,2,2,4,3,2,3,3,3,5,4,3,3,3,105,84,Neutral or dissatisfied,Youth
5492,Male,Disloyal customer,57,Business travel,Business,192,5,5,5,4,5,5,5,5,5,4,5,4,5,5,0,5,Satisfied,Middle Adults
5493,Male,Loyal customer,9,Personal Travel,Eco,422,2,2,2,4,3,2,3,3,3,1,4,1,4,3,5,6,Neutral or dissatisfied,Youth
5494,Female,Loyal customer,35,Business travel,Business,2342,4,4,4,4,3,3,5,1,1,2,1,3,1,3,0,0,Satisfied,Young Adults
5495,Male,Loyal customer,49,Business travel,Business,534,3,3,3,3,2,5,2,4,4,4,4,2,4,2,3,0,Satisfied,Middle Adults
5496,Male,Loyal customer,38,Business travel,Business,130,2,2,2,2,3,5,5,5,5,4,4,3,5,5,0,0,Satisfied,Young Adults
5497,Female,Loyal customer,40,Business travel,Eco,636,5,5,5,5,5,5,5,5,3,3,2,1,1,5,38,48,Satisfied,Young Adults
5498,Male,Loyal customer,12,Personal Travel,Eco,351,2,1,2,2,2,2,2,2,2,2,3,1,2,2,0,0,Neutral or dissatisfied,Youth
5499,Male,Disloyal customer,22,Business travel,Eco,417,2,1,2,3,1,2,1,1,3,5,4,3,4,1,36,31,Neutral or dissatisfied,Youth
5500,Male,Loyal customer,60,Business travel,Business,1723,1,1,1,1,1,2,4,5,5,5,5,3,5,1,0,0,Satisfied,Middle Adults
5501,Female,Disloyal customer,26,Business travel,Eco,451,2,3,2,4,5,2,5,5,1,2,3,4,3,5,3,0,Neutral or dissatisfied,Young Adults
5502,Female,Disloyal customer,38,Business travel,Eco,533,4,3,4,2,5,4,5,5,1,5,1,3,2,5,16,12,Satisfied,Young Adults
5503,Female,Loyal customer,35,Personal Travel,Eco,356,3,5,3,3,3,3,3,3,3,4,4,3,5,3,0,0,Neutral or dissatisfied,Young Adults
5504,Female,Loyal customer,51,Personal Travel,Eco,337,2,2,2,4,2,4,4,5,5,2,5,1,5,3,9,0,Neutral or dissatisfied,Middle Adults
5505,Female,Loyal customer,31,Business travel,Business,3428,0,4,0,1,2,2,2,2,3,3,1,1,5,2,0,0,Satisfied,Young Adults
5506,Male,Loyal customer,38,Business travel,Business,2409,5,5,5,5,2,3,3,4,4,4,4,2,4,4,0,0,Satisfied,Young Adults
5507,Male,Disloyal customer,39,Business travel,Eco,387,2,0,2,4,3,2,3,3,1,4,3,2,4,3,0,0,Neutral or dissatisfied,Young Adults
5508,Female,Loyal customer,59,Business travel,Business,2704,2,2,2,2,5,4,3,2,2,2,2,1,2,2,0,0,Neutral or dissatisfied,Middle Adults
5509,Male,Loyal customer,49,Business travel,Business,590,5,5,2,5,4,5,5,2,2,2,2,5,2,4,46,40,Satisfied,Middle Adults
5510,Female,Loyal customer,49,Business travel,Business,3844,1,1,1,1,5,5,5,4,4,4,4,4,4,4,86,80,Satisfied,Middle Adults
5511,Female,Loyal customer,50,Business travel,Business,3397,4,5,5,5,3,4,4,3,2,3,4,4,2,4,161,173,Neutral or dissatisfied,Middle Adults
5512,Male,Loyal customer,43,Business travel,Eco,420,4,1,1,1,4,4,4,4,1,4,2,3,4,4,5,29,Satisfied,Middle Adults
5513,Male,Loyal customer,41,Business travel,Business,114,4,4,4,4,5,5,5,5,5,5,5,4,5,5,0,0,Satisfied,Middle Adults
5514,Male,Loyal customer,53,Business travel,Business,3057,1,1,1,1,4,5,5,5,5,5,5,4,5,4,0,0,Satisfied,Middle Adults
5515,Female,Disloyal customer,38,Business travel,Eco,240,3,3,3,4,1,3,1,1,3,4,4,3,4,1,5,2,Neutral or dissatisfied,Young Adults
5516,Male,Loyal customer,43,Personal Travel,Eco,395,3,3,3,3,1,3,1,1,5,3,3,3,3,1,1,0,Neutral or dissatisfied,Middle Adults
5517,Female,Loyal customer,72,Business travel,Eco Plus,319,2,1,1,1,3,3,3,2,2,2,2,3,2,1,52,43,Neutral or dissatisfied,Senior
5518,Male,Loyal customer,29,Personal Travel,Eco,814,4,2,4,3,3,4,3,3,1,3,2,3,4,3,0,0,Neutral or dissatisfied,Young Adults
5519,Female,Loyal customer,70,Personal Travel,Eco,327,2,0,2,3,5,4,5,5,5,2,5,5,5,5,59,57,Neutral or dissatisfied,Senior
5520,Male,Loyal customer,41,Business travel,Eco,1892,3,4,5,4,2,3,2,2,3,1,4,1,4,2,0,0,Neutral or dissatisfied,Middle Adults
5521,Female,Loyal customer,41,Personal Travel,Eco,1504,2,1,2,3,5,2,5,5,1,3,2,1,3,5,0,0,Neutral or dissatisfied,Middle Adults
5522,Female,Loyal customer,43,Personal Travel,Eco Plus,261,2,3,2,2,3,3,4,5,5,2,5,1,5,2,1,5,Neutral or dissatisfied,Middle Adults
5523,Female,Loyal customer,25,Business travel,Business,2073,2,2,2,2,4,4,4,4,5,3,5,5,4,4,0,0,Satisfied,Youth
5524,Male,Loyal customer,17,Business travel,Business,1723,4,4,4,4,3,3,3,3,5,5,3,4,4,3,2,3,Satisfied,Youth
5525,Male,Loyal customer,52,Business travel,Business,3176,3,3,3,3,2,4,5,5,5,4,5,5,5,4,6,0,Satisfied,Middle Adults
5526,Female,Loyal customer,45,Business travel,Business,604,4,4,4,4,5,5,3,4,4,4,4,1,4,5,0,0,Satisfied,Middle Adults
5527,Male,Disloyal customer,22,Business travel,Business,825,0,4,0,5,3,0,3,3,4,2,4,4,5,3,0,0,Satisfied,Youth
5528,Male,Loyal customer,64,Personal Travel,Eco,358,3,4,3,5,5,3,5,5,5,4,4,4,5,5,1,0,Neutral or dissatisfied,Senior
5529,Male,Loyal customer,59,Business travel,Business,290,2,2,2,2,5,5,5,5,5,5,5,2,5,3,2,7,Satisfied,Middle Adults
5530,Male,Loyal customer,38,Business travel,Eco,251,5,4,4,4,5,5,5,5,3,2,2,4,1,5,0,0,Satisfied,Young Adults
5531,Female,Loyal customer,18,Personal Travel,Eco,689,3,2,4,3,4,4,4,4,2,1,4,4,3,4,0,0,Neutral or dissatisfied,Youth
5532,Male,Loyal customer,68,Business travel,Eco,156,3,2,2,2,3,3,3,3,2,5,2,5,4,3,0,0,Satisfied,Senior
5533,Male,Loyal customer,59,Personal Travel,Eco,1211,1,0,1,3,4,1,4,4,4,2,5,3,4,4,0,0,Neutral or dissatisfied,Middle Adults
5534,Female,Loyal customer,59,Business travel,Business,541,2,2,2,2,4,5,5,4,4,4,4,5,4,4,0,18,Satisfied,Middle Adults
5535,Female,Loyal customer,53,Personal Travel,Eco,957,3,4,3,3,4,4,5,5,5,3,5,3,5,3,0,13,Neutral or dissatisfied,Middle Adults
5536,Female,Loyal customer,50,Personal Travel,Eco,550,4,3,4,3,5,4,4,2,2,4,2,4,2,4,1,3,Neutral or dissatisfied,Middle Adults
5537,Male,Loyal customer,52,Business travel,Business,1985,5,5,4,5,3,5,4,4,4,4,4,5,4,3,1,0,Satisfied,Middle Adults
5538,Female,Loyal customer,27,Business travel,Business,1938,5,5,5,5,5,5,5,5,1,5,4,1,1,5,0,0,Satisfied,Young Adults
5539,Female,Loyal customer,32,Business travel,Business,3147,4,1,4,4,4,4,4,4,5,4,5,4,4,4,7,9,Satisfied,Young Adults
5540,Male,Loyal customer,50,Business travel,Eco,1132,4,4,3,3,4,4,4,2,5,1,1,4,4,4,284,286,Neutral or dissatisfied,Middle Adults
5541,Female,Loyal customer,30,Business travel,Business,2611,5,5,5,5,3,3,3,3,1,3,3,1,5,3,15,0,Satisfied,Young Adults
5542,Male,Loyal customer,49,Personal Travel,Eco,1337,0,2,0,4,2,0,4,2,4,1,4,3,4,2,0,15,Satisfied,Middle Adults
5543,Female,Disloyal customer,21,Business travel,Eco,368,3,5,3,4,3,2,2,3,4,4,5,2,3,2,251,253,Neutral or dissatisfied,Youth
5544,Female,Loyal customer,39,Business travel,Eco,516,2,4,3,4,2,2,2,2,3,3,3,4,4,2,62,51,Neutral or dissatisfied,Young Adults
5545,Female,Loyal customer,63,Business travel,Eco,696,2,5,5,5,5,4,3,2,2,2,2,4,2,3,59,32,Neutral or dissatisfied,Senior
5546,Male,Disloyal customer,34,Business travel,Eco,483,3,5,3,3,3,3,3,3,4,5,2,3,3,3,0,0,Neutral or dissatisfied,Young Adults
5547,Female,Disloyal customer,36,Business travel,Eco Plus,986,2,2,2,4,5,2,5,5,4,5,4,1,4,5,0,7,Neutral or dissatisfied,Young Adults
5548,Male,Loyal customer,55,Business travel,Business,3584,2,2,2,2,5,1,1,2,2,2,2,3,2,3,0,0,Neutral or dissatisfied,Middle Adults
5549,Male,Disloyal customer,30,Business travel,Business,1096,0,0,0,1,1,0,1,1,4,5,5,5,4,1,3,0,Satisfied,Young Adults
5550,Female,Loyal customer,22,Business travel,Business,2880,2,2,2,2,5,5,5,5,5,5,4,4,4,5,0,0,Satisfied,Youth
5551,Male,Loyal customer,46,Business travel,Business,1766,4,4,4,4,4,4,4,5,5,5,5,4,5,5,56,53,Satisfied,Middle Adults
5552,Female,Loyal customer,61,Personal Travel,Eco,1249,3,5,3,1,2,3,4,3,3,3,3,4,3,4,9,3,Neutral or dissatisfied,Senior
5553,Female,Disloyal customer,27,Business travel,Eco Plus,328,5,5,5,2,3,5,3,3,3,4,3,1,4,3,0,0,Satisfied,Young Adults
5554,Male,Disloyal customer,24,Business travel,Eco,756,5,5,5,4,3,5,5,3,4,5,5,4,4,3,7,2,Satisfied,Youth
5555,Male,Loyal customer,31,Business travel,Business,3025,4,1,4,4,1,2,1,1,3,4,5,4,5,1,41,31,Satisfied,Young Adults
5556,Male,Loyal customer,15,Personal Travel,Eco,597,3,3,4,4,2,4,2,2,1,1,4,4,3,2,0,0,Neutral or dissatisfied,Youth
5557,Male,Loyal customer,19,Personal Travel,Eco,731,3,4,3,3,3,3,3,3,4,4,4,2,3,3,0,0,Neutral or dissatisfied,Youth
5558,Female,Loyal customer,56,Personal Travel,Eco Plus,546,2,4,2,5,3,5,4,3,3,2,4,3,3,1,0,5,Neutral or dissatisfied,Middle Adults
5559,Female,Loyal customer,51,Business travel,Business,2404,1,1,1,1,2,5,4,4,4,4,4,3,4,4,41,39,Satisfied,Middle Adults
5560,Male,Disloyal customer,34,Business travel,Eco,580,3,3,3,3,3,3,3,3,3,5,4,1,4,3,1,0,Neutral or dissatisfied,Young Adults
5561,Male,Loyal customer,51,Business travel,Business,2478,5,5,3,5,4,4,2,4,4,4,4,3,4,3,12,5,Satisfied,Middle Adults
5562,Female,Disloyal customer,23,Business travel,Business,296,5,0,5,2,4,5,4,4,5,3,4,5,4,4,0,0,Satisfied,Youth
5563,Male,Loyal customer,13,Personal Travel,Eco,2640,2,4,2,5,2,4,4,5,4,4,4,4,3,4,5,0,Neutral or dissatisfied,Youth
5564,Male,Loyal customer,50,Personal Travel,Business,314,1,4,1,2,4,4,5,3,3,1,3,4,3,4,0,0,Neutral or dissatisfied,Middle Adults
5565,Female,Loyal customer,48,Personal Travel,Eco,967,1,5,1,3,3,4,5,2,2,1,2,3,2,5,52,61,Neutral or dissatisfied,Middle Adults
5566,Female,Disloyal customer,9,Business travel,Eco,1050,2,3,3,4,2,4,4,4,5,3,4,4,2,4,0,12,Neutral or dissatisfied,Youth
5567,Female,Loyal customer,70,Personal Travel,Eco,503,2,5,2,3,3,4,4,4,4,2,5,3,4,5,0,5,Neutral or dissatisfied,Senior
5568,Female,Disloyal customer,56,Business travel,Eco,525,3,0,2,1,3,2,3,3,2,3,4,4,3,3,0,0,Neutral or dissatisfied,Middle Adults
5569,Male,Loyal customer,38,Business travel,Business,1624,4,2,2,2,4,3,3,3,3,3,4,1,3,4,7,6,Neutral or dissatisfied,Young Adults
5570,Female,Loyal customer,40,Business travel,Eco,828,5,1,1,1,5,5,5,5,5,1,4,2,2,5,0,12,Satisfied,Young Adults
5571,Female,Loyal customer,66,Personal Travel,Eco,1068,2,5,2,4,3,5,5,4,4,2,1,4,4,4,0,0,Neutral or dissatisfied,Senior
5572,Female,Loyal customer,56,Business travel,Eco,236,1,3,3,3,4,3,3,2,2,1,2,2,2,1,0,0,Neutral or dissatisfied,Middle Adults
5573,Female,Loyal customer,48,Business travel,Eco,223,4,4,4,4,5,4,2,4,4,4,4,3,4,1,0,0,Satisfied,Middle Adults
5574,Male,Loyal customer,32,Business travel,Business,770,1,1,2,1,1,1,1,1,3,2,4,4,3,1,113,112,Neutral or dissatisfied,Young Adults
5575,Female,Disloyal customer,21,Business travel,Business,651,3,4,3,3,2,3,2,2,1,3,4,1,3,2,2,1,Neutral or dissatisfied,Youth
5576,Male,Loyal customer,8,Personal Travel,Eco,861,2,4,2,3,4,2,4,4,4,3,4,3,5,4,0,0,Neutral or dissatisfied,Youth
5577,Female,Loyal customer,21,Business travel,Business,2486,4,4,4,4,3,4,3,3,5,4,3,4,4,3,0,0,Satisfied,Youth
5578,Male,Loyal customer,29,Personal Travel,Eco,341,4,5,4,4,2,4,2,2,4,4,4,5,4,2,0,0,Satisfied,Young Adults
5579,Male,Disloyal customer,20,Business travel,Eco,639,1,2,1,3,4,1,4,4,4,1,3,4,4,4,0,0,Neutral or dissatisfied,Youth
5580,Male,Loyal customer,39,Business travel,Business,3661,4,5,4,4,4,5,4,4,4,4,4,5,4,3,6,7,Satisfied,Young Adults
5581,Female,Loyal customer,48,Business travel,Business,1797,1,1,1,1,4,3,4,4,4,4,4,3,4,5,24,27,Satisfied,Middle Adults
5582,Female,Disloyal customer,57,Business travel,Eco,262,3,3,3,2,5,3,4,5,1,5,2,2,2,5,0,0,Neutral or dissatisfied,Middle Adults
5583,Female,Loyal customer,54,Business travel,Business,325,0,0,0,3,4,4,5,5,5,5,5,4,5,4,0,5,Satisfied,Middle Adults
5584,Male,Loyal customer,59,Personal Travel,Eco,216,3,1,3,2,1,3,1,1,2,2,1,4,2,1,0,0,Neutral or dissatisfied,Middle Adults
5585,Male,Loyal customer,29,Business travel,Business,3916,3,3,3,3,4,4,4,4,4,2,4,3,5,4,8,3,Satisfied,Young Adults
5586,Female,Disloyal customer,37,Business travel,Business,446,1,1,1,4,3,1,3,3,5,4,4,3,4,3,1,0,Neutral or dissatisfied,Young Adults
5587,Male,Loyal customer,59,Business travel,Eco,429,2,4,4,4,2,2,2,2,3,3,4,1,3,2,0,0,Neutral or dissatisfied,Middle Adults
5588,Male,Loyal customer,22,Personal Travel,Eco,341,1,1,1,3,5,1,5,5,1,2,3,4,3,5,0,0,Neutral or dissatisfied,Youth
5589,Male,Loyal customer,47,Business travel,Business,1850,3,3,3,3,4,4,5,2,2,2,2,3,2,4,0,1,Satisfied,Middle Adults
5590,Male,Loyal customer,56,Personal Travel,Business,795,2,5,2,1,2,5,5,5,5,2,5,5,5,4,19,10,Neutral or dissatisfied,Middle Adults
5591,Male,Disloyal customer,29,Business travel,Business,733,5,5,5,1,2,5,4,2,3,4,5,5,5,2,24,17,Satisfied,Young Adults
5592,Male,Disloyal customer,23,Business travel,Eco,602,1,0,1,3,4,1,2,4,5,3,1,4,4,4,0,0,Neutral or dissatisfied,Youth
5593,Male,Loyal customer,49,Business travel,Business,1908,3,3,3,3,3,5,5,3,3,4,3,5,3,3,14,5,Satisfied,Middle Adults
5594,Female,Loyal customer,43,Business travel,Business,265,4,4,4,4,4,4,5,4,4,4,4,5,4,3,0,17,Satisfied,Middle Adults
5595,Female,Loyal customer,10,Personal Travel,Eco,134,1,4,1,2,2,1,2,2,4,5,5,5,4,2,22,50,Neutral or dissatisfied,Youth
5596,Male,Loyal customer,58,Personal Travel,Eco,711,1,1,0,3,2,0,2,2,4,2,2,3,3,2,66,87,Neutral or dissatisfied,Middle Adults
5597,Male,Loyal customer,68,Personal Travel,Eco,419,2,4,2,2,1,2,1,1,4,2,3,4,1,1,2,3,Neutral or dissatisfied,Senior
5598,Male,Loyal customer,60,Personal Travel,Eco,158,3,4,3,1,5,3,2,5,3,2,4,4,4,5,0,0,Neutral or dissatisfied,Middle Adults
5599,Male,Loyal customer,43,Business travel,Business,3742,1,1,1,1,1,3,5,3,3,4,3,5,3,4,0,0,Satisfied,Middle Adults
5600,Female,Loyal customer,54,Business travel,Eco,517,4,1,1,1,4,3,3,4,4,4,4,2,4,2,57,48,Satisfied,Middle Adults
5601,Female,Loyal customer,43,Business travel,Business,2115,4,4,4,4,2,2,4,5,5,5,5,4,5,1,0,0,Satisfied,Middle Adults
5602,Male,Disloyal customer,45,Business travel,Business,391,2,2,2,3,2,2,1,2,5,2,4,3,5,2,77,77,Neutral or dissatisfied,Middle Adults
5603,Female,Loyal customer,41,Business travel,Business,2917,3,3,4,3,2,4,5,5,5,5,5,4,5,4,5,0,Satisfied,Middle Adults
